Name,DisplayName,GivenName,Surname,SamAccountName,UserPrincipalName,EmployeeID,AccountPassword,Description,EmailAddress,Enabled,MobilePhone,Company,Office,Department,Division,Organization,OfficePhone,StreetAddress,City,State,Country,PostalCode,Path,ProfilePath
Patrick Heninghem,Patrick Heninghem,Patrick,Heninghem,PH6558,PH6558@vcloud-lab.com,6558,PaTo@6558,Employee,Patrick.Heninghem@vcloud-lab.com,$True,184.192.5.227,vcloud-lab.com,Development Center,Testing,Software,Cider,339692762,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Allyson Tollfree,Allyson Tollfree,Allyson,Tollfree,AT6508,AT6508@vcloud-lab.com,6508,AlSa@6508,Employee,Allyson.Tollfree@vcloud-lab.com,$True,39.31.26.0,vcloud-lab.com,Development Center,Testing,Software,Cider,257012067,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Stirling Santry,Stirling Santry,Stirling,Santry,SS6336,SS6336@vcloud-lab.com,6336,StDi@6336,Employee,Stirling.Santry@vcloud-lab.com,$True,122.188.191.56,vcloud-lab.com,Development Center,Testing,Software,Cider,344409984,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Marylou Di Giacomettino,Marylou Di Giacomettino,Marylou,Di Giacomettino,MD6418,MD6418@vcloud-lab.com,6418,MaBa@6418,Employee,Marylou.Di Giacomettino@vcloud-lab.com,$True,246.158.248.216,vcloud-lab.com,Development Center,Testing,Software,Cider,559085169,2392 Cameron Road,HIGH BRIDGE,Wisconsin,US,54846,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Pepi Bartul,Pepi Bartul,Pepi,Bartul,PB6544,PB6544@vcloud-lab.com,6544,PeMe@6544,Employee,Pepi.Bartul@vcloud-lab.com,$True,23.210.214.13,vcloud-lab.com,Development Center,Testing,Software,AfterMath,867201708,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Langston Mewis,Langston Mewis,Langston,Mewis,LM6677,LM6677@vcloud-lab.com,6677,LaBh@6677,Employee,Langston.Mewis@vcloud-lab.com,$True,172.186.102.204,vcloud-lab.com,Development Center,Testing,Software,AfterMath,604658746,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Morgan Bhatia,Morgan Bhatia,Morgan,Bhatia,MB6388,MB6388@vcloud-lab.com,6388,MoCa@6388,Employee,Morgan.Bhatia@vcloud-lab.com,$True,129.121.190.242,vcloud-lab.com,Development Center,Development,Software,AfterMath,114461256,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Vale Casotti,Vale Casotti,Vale,Casotti,VC6766,VC6766@vcloud-lab.com,6766,VaKe@6766,Employee,Vale.Casotti@vcloud-lab.com,$True,120.242.87.177,vcloud-lab.com,Development Center,Development,Software,AfterMath,490650523,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Clerc Kernan,Clerc Kernan,Clerc,Kernan,CK6630,CK6630@vcloud-lab.com,6630,ClSi@6630,Employee,Clerc.Kernan@vcloud-lab.com,$True,60.92.116.36,vcloud-lab.com,Development Center,Development,Hardware,44M,800298538,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
Margarethe Silk,Margarethe Silk,Margarethe,Silk,MS6350,MS6350@vcloud-lab.com,6350,MaSc@6350,Employee,Margarethe.Silk@vcloud-lab.com,$True,132.153.191.115,vcloud-lab.com,Development Center,Development,Hardware,44M,571142145,1454 Copperhead Road,Suffield,Connecticut,UK,6078,"ou=New,dc=vcloud-lab,dc=com",\\vcloud-lab.com\Profiles\%username%
